Name,Intro,Death,x1,y1,x2,y2,rot,offset,Id
Eon Hunter,38,80,678.22,1093.8,600,100,81,0,1
Tywin Lannister,42,77,521.78,1093.8,483.28,113.82,99,0,2
Dalla,73,76,338.75,173.68,445.49,124.47,58.5,-30,3
Harma,0,75,600,100,408.66,138.06,-90,0,4
Gregor Clegane,29,72,980.2,924.72,306.11,195.49,40.5,0,5
Oberyn Martell,38,70,678.22,1093.8,246.45,246.45,81,0,6
Quentyn Martell,6,70,827,154.5,246.45,246.45,-63,0,7
Patrek of King's Mountain,44,69,445.49,1075.5,219.8,275.28,108,0,8
Cley Cerwyn,16,66,1075.5,445.49,154.5,373,-18,0,9
Gevin Harlaw,37,66,716.72,1086.2,154.5,373,76.5,0,10
Leobald Tallhart,16,66,1075.5,445.49,154.5,373,-18,0,11
Rodrik Cassel,7,66,861.25,173.68,154.5,373,-58.5,0,12
Bryce Caron,29,65,980.2,924.72,138.06,408.66,40.5,0,13
Eddard Stark,1,65,639.23,101.54,138.06,408.66,-85.5,0,14
Drogo,3,64,716.72,113.82,124.47,445.49,-76.5,0,15
Mag Mar Tun Doh Weg,15,64,1061.9,408.66,124.47,445.49,-22.5,0,16
Daryn Hornwood,63,63,113.82,483.28,113.82,483.28,13.5,-30,17
Eddard Karstark,53,63,173.68,861.25,113.82,483.28,148.5,0,18
Torrhen Karstark,53,63,173.68,861.25,113.82,483.28,148.5,0,19
Bryan Fossoway,42,62,521.78,1093.8,106.16,521.78,99,0,20
Bryen Farring,10,62,953.55,246.45,106.16,521.78,-45,0,21
Guyard Morrigen,22,62,1093.8,678.22,106.16,521.78,9,0,22
Halys Hornwood,53,62,173.68,861.25,106.16,521.78,148.5,0,23
Dontos Hollard,57,61,113.82,716.72,101.54,560.77,166.5,0,24
Fogo,46,61,373,1045.5,101.54,560.77,117,0,25
Mandon Moore,51,61,219.8,924.72,101.54,560.77,139.5,0,26
Ogo,46,61,373,1045.5,101.54,560.77,117,0,27
Jaremy Rykker,21,60,1098.5,639.23,100,600,4.5,0,28
Joffrey Baratheon,5,60,791.34,138.06,100,600,-67.5,0,29
